date,Borough,week day,Month,TMAX,TMIN,holiday,Year,Total
1/1/2006,BRONX,Sunday,January ,42,32,holiday,A2006,71
1/1/2006,MANHATTAN,Sunday,January ,42,32,holiday,A2006,47
1/1/2006,STATEN ISLAND,Sunday,January ,42,32,holiday,A2006,17
1/2/2006,BRONX,Monday,January ,48,39,No Holiday,A2006,33
1/2/2006,MANHATTAN,Monday,January ,48,39,No Holiday,A2006,17
1/2/2006,STATEN ISLAND,Monday,January ,48,39,No Holiday,A2006,7
1/3/2006,BRONX,Tuesday,January ,40,33,No Holiday,A2006,50
1/3/2006,MANHATTAN,Tuesday,January ,40,33,No Holiday,A2006,22
1/3/2006,STATEN ISLAND,Tuesday,January ,40,33,No Holiday,A2006,1
1/4/2006,BRONX,Wednesday,January ,38,29,No Holiday,A2006,38
1/4/2006,MANHATTAN,Wednesday,January ,38,29,No Holiday,A2006,35
1/4/2006,STATEN ISLAND,Wednesday,January ,38,29,No Holiday,A2006,6
1/5/2006,BRONX,Thursday,January ,50,37,No Holiday,A2006,43
1/5/2006,MANHATTAN,Thursday,January ,50,37,No Holiday,A2006,37
1/5/2006,STATEN ISLAND,Thursday,January ,50,37,No Holiday,A2006,4
1/6/2006,BRONX,Friday,January ,43,30,No Holiday,A2006,37
1/6/2006,MANHATTAN,Friday,January ,43,30,No Holiday,A2006,21
1/6/2006,STATEN ISLAND,Friday,January ,43,30,No Holiday,A2006,7
1/7/2006,BRONX,Saturday,January ,35,25,No Holiday,A2006,46
1/7/2006,MANHATTAN,Saturday,January ,35,25,No Holiday,A2006,28
1/7/2006,STATEN ISLAND,Saturday,January ,35,25,No Holiday,A2006,10
1/8/2006,BRONX,Sunday,January ,46,34,No Holiday,A2006,48
1/8/2006,MANHATTAN,Sunday,January ,46,34,No Holiday,A2006,25
1/8/2006,STATEN ISLAND,Sunday,January ,46,34,No Holiday,A2006,7
1/9/2006,BRONX,Monday,January ,60,43,No Holiday,A2006,36
1/9/2006,MANHATTAN,Monday,January ,60,43,No Holiday,A2006,27
1/9/2006,STATEN ISLAND,Monday,January ,60,43,No Holiday,A2006,6
1/10/2006,BRONX,Tuesday,January ,49,41,No Holiday,A2006,32
1/10/2006,MANHATTAN,Tuesday,January ,49,41,No Holiday,A2006,24
1/10/2006,STATEN ISLAND,Tuesday,January ,49,41,No Holiday,A2006,8
1/11/2006,BRONX,Wednesday,January ,52,42,No Holiday,A2006,39
1/11/2006,MANHATTAN,Wednesday,January ,52,42,No Holiday,A2006,22
1/11/2006,STATEN ISLAND,Wednesday,January ,52,42,No Holiday,A2006,8
1/12/2006,BRONX,Thursday,January ,57,45,No Holiday,A2006,43
1/12/2006,MANHATTAN,Thursday,January ,57,45,No Holiday,A2006,20
1/12/2006,STATEN ISLAND,Thursday,January ,57,45,No Holiday,A2006,9
