date,week day,Month,TMAX,TMIN,holiday
1/1/2006,Sunday,January ,42,32,holiday
1/2/2006,Monday,January ,48,39,No Holiday
1/3/2006,Tuesday,January ,40,33,No Holiday
1/4/2006,Wednesday,January ,38,29,No Holiday
1/5/2006,Thursday,January ,50,37,No Holiday
1/6/2006,Friday,January ,43,30,No Holiday
1/7/2006,Saturday,January ,35,25,No Holiday
1/8/2006,Sunday,January ,46,34,No Holiday
1/9/2006,Monday,January ,60,43,No Holiday
1/10/2006,Tuesday,January ,49,41,No Holiday
1/11/2006,Wednesday,January ,52,42,No Holiday
1/12/2006,Thursday,January ,57,45,No Holiday
1/13/2006,Friday,January ,54,43,No Holiday
1/14/2006,Saturday,January ,57,31,No Holiday
1/15/2006,Sunday,January ,32,16,No Holiday
1/16/2006,Monday,January ,32,16,holiday
1/17/2006,Tuesday,January ,44,26,No Holiday
1/18/2006,Wednesday,January ,58,36,No Holiday
1/19/2006,Thursday,January ,47,34,No Holiday
1/20/2006,Friday,January ,61,42,No Holiday
1/21/2006,Saturday,January ,63,38,No Holiday
1/22/2006,Sunday,January ,43,33,No Holiday
1/23/2006,Monday,January ,40,35,No Holiday
1/24/2006,Tuesday,January ,46,35,No Holiday
1/25/2006,Wednesday,January ,42,34,No Holiday
1/26/2006,Thursday,January ,35,26,No Holiday
1/27/2006,Friday,January ,43,24,No Holiday
1/28/2006,Saturday,January ,58,37,No Holiday
1/29/2006,Sunday,January ,53,44,No Holiday
1/30/2006,Monday,January ,64,41,No Holiday
1/31/2006,Tuesday,January ,42,39,No Holiday
2/1/2006,Wednesday,February,41,36,No Holiday
2/2/2006,Thursday,February,52,38,No Holiday
2/3/2006,Friday,February,62,46,No Holiday
2/4/2006,Saturday,February,53,43,No Holiday
2/5/2006,Sunday,February,55,37,No Holiday
2/6/2006,Monday,February,39,34,No Holiday
2/7/2006,Tuesday,February,43,31,No Holiday
2/8/2006,Wednesday,February,36,28,No Holiday
2/9/2006,Thursday,February,36,23,No Holiday
2/10/2006,Friday,February,37,26,No Holiday
2/11/2006,Saturday,February,36,28,No Holiday
2/12/2006,Sunday,February,28,23,No Holiday
2/13/2006,Monday,February,36,19,No Holiday
2/14/2006,Tuesday,February,41,28,No Holiday
2/15/2006,Wednesday,February,56,36,No Holiday
2/16/2006,Thursday,February,59,40,No Holiday
2/17/2006,Friday,February,58,32,No Holiday
2/18/2006,Saturday,February,35,15,No Holiday
2/19/2006,Sunday,February,30,15,No Holiday
2/20/2006,Monday,February,36,22,holiday
2/21/2006,Tuesday,February,41,31,No Holiday
2/22/2006,Wednesday,February,45,32,No Holiday
2/23/2006,Thursday,February,48,38,No Holiday
2/24/2006,Friday,February,42,28,No Holiday
2/25/2006,Saturday,February,50,27,No Holiday
2/26/2006,Sunday,February,29,18,No Holiday
2/27/2006,Monday,February,30,18,No Holiday
2/28/2006,Tuesday,February,33,22,No Holiday
3/1/2006,Wednesday,March,41,27,No Holiday
3/2/2006,Thursday,March,35,29,No Holiday
3/3/2006,Friday,March,33,22,No Holiday
3/4/2006,Saturday,March,39,24,No Holiday
3/5/2006,Sunday,March,45,31,No Holiday
3/6/2006,Monday,March,43,31,No Holiday
3/7/2006,Tuesday,March,44,30,No Holiday
3/8/2006,Wednesday,March,49,29,No Holiday
3/9/2006,Thursday,March,51,41,No Holiday
3/10/2006,Friday,March,74,47,No Holiday
3/11/2006,Saturday,March,63,47,No Holiday
3/12/2006,Sunday,March,55,49,No Holiday
3/13/2006,Monday,March,62,50,No Holiday
3/14/2006,Tuesday,March,62,39,No Holiday
3/15/2006,Wednesday,March,45,37,No Holiday
3/16/2006,Thursday,March,48,35,No Holiday
3/17/2006,Friday,March,46,31,No Holiday
3/18/2006,Saturday,March,42,29,No Holiday
3/19/2006,Sunday,March,42,30,No Holiday
3/20/2006,Monday,March,41,27,No Holiday
3/21/2006,Tuesday,March,44,24,No Holiday
3/22/2006,Wednesday,March,46,31,No Holiday
3/23/2006,Thursday,March,54,34,No Holiday
3/24/2006,Friday,March,52,39,No Holiday
3/25/2006,Saturday,March,47,38,No Holiday
3/26/2006,Sunday,March,51,37,No Holiday
3/27/2006,Monday,March,58,38,No Holiday
3/28/2006,Tuesday,March,56,42,No Holiday
3/29/2006,Wednesday,March,63,40,No Holiday
3/30/2006,Thursday,March,67,45,No Holiday
3/31/2006,Friday,March,70,50,No Holiday
4/1/2006,Saturday,April,75,53,No Holiday
4/2/2006,Sunday,April,68,47,No Holiday
4/3/2006,Monday,April,58,47,No Holiday
4/4/2006,Tuesday,April,55,43,No Holiday
4/5/2006,Wednesday,April,47,33,No Holiday
4/6/2006,Thursday,April,53,39,No Holiday
4/7/2006,Friday,April,66,45,No Holiday
4/8/2006,Saturday,April,63,37,No Holiday
4/9/2006,Sunday,April,58,37,No Holiday
4/10/2006,Monday,April,62,41,No Holiday
4/11/2006,Tuesday,April,68,45,No Holiday
4/12/2006,Wednesday,April,64,50,No Holiday
4/13/2006,Thursday,April,78,55,No Holiday
4/14/2006,Friday,April,67,54,No Holiday
4/15/2006,Saturday,April,80,52,No Holiday
